question_id,question,optionA,optionB,optionC,optionD,answer,attributes
Q1,"In the fraction 3/7, what is the numerator?",3,7,10,21,A,A1
Q2,"In the fraction 5/9, what is the denominator?",5,4,9,14,C,A1
Q3,Which fraction represents one half?,1/2,1/3,2/3,3/4,A,A2
Q4,Which fraction is shown by 3 shaded parts out of 5 equal parts?,2/5,3/5,3/2,5/3,B,A2
Q5,Which is a proper fraction?,7/4,9/9,3/8,11/5,C,A3
Q6,Which is an improper fraction?,2/7,5/9,9/4,3/10,C,A3
Q7,Which is a mixed number?,7/3,2 1/3,4/9,5/5,B,A3
Q8,Simplify 12/18.,2/3,3/4,4/5,6/9,A,A4
Q9,Simplify 15/25.,2/5,3/5,5/8,4/5,B,A4
Q10,Simplify 21/28.,2/3,3/4,4/7,7/8,B,A4
Q11,Which fraction is equivalent to 2/3?,4/9,6/9,8/15,10/18,B,A5
Q12,Which fraction is equivalent to 5/8?,10/16,10/12,15/20,20/30,A,A5
Q13,Which fraction is equivalent to 3/4?,6/10,9/12,12/20,15/24,B,A5
Q14,Which is greater?,2/5,3/5,They are equal,Cannot tell,B,A6
Q15,Which is smaller?,5/8,3/8,7/8,8/8,B,A6
Q16,Compare 4/7 and 5/7.,4/7 > 5/7,4/7 < 5/7,4/7 = 5/7,Not comparable,B,A6
Q17,Compare 3/4 and 2/3.,3/4 < 2/3,3/4 = 2/3,3/4 > 2/3,Not comparable,C,A6
Q18,Which fraction is greatest?,1/2,2/3,3/5,5/8,B,A6
Q19,Which fraction is least?,4/5,2/3,3/4,5/6,B,A6
Q20,Which statement is true?,5/6 < 3/4,5/6 > 3/4,5/6 = 3/4,None,B,A6
Q21,Which statement is true?,7/10 < 2/5,7/10 > 2/5,7/10 = 2/5,None,B,A6
Q22,"Arrange 1/4, 3/4, 1/2 from least to greatest.","1/2,1/4,3/4","1/4,1/2,3/4","3/4,1/2,1/4","1/4,3/4,1/2",B,A7
Q23,"Arrange 2/3, 1/3, 5/6 from least to greatest.","1/3,2/3,5/6","2/3,1/3,5/6","5/6,2/3,1/3","1/3,5/6,2/3",A,A7
Q24,"Arrange 3/8, 7/8, 5/8 from least to greatest.","7/8,5/8,3/8","3/8,5/8,7/8","5/8,3/8,7/8","3/8,7/8,5/8",B,A7
Q25,Convert 7/3 to a mixed number.,1 1/3,2 1/3,2 2/3,3 1/2,B,A8
Q26,Convert 2 3/5 to an improper fraction.,10/5,11/5,13/5,15/5,C,A8
Q27,Convert 11/4 to a mixed number.,2 1/4,2 3/4,3 1/4,3 3/4,B,A8
Q28,What is 3/8 + 2/8?,5/8,5/16,1/2,6/8,A,A9
Q29,What is 4/9 + 3/9?,7/18,7/9,1/9,8/9,B,A9
Q30,What is 5/12 + 4/12?,9/12,9/24,1/12,8/12,A,A9
Q31,What is 1/2 + 1/4?,3/4,2/6,1/6,2/8,A,A10
Q32,What is 2/3 + 1/6?,3/9,1/2,5/6,4/6,C,A10
Q33,What is 3/4 + 1/8?,4/12,5/8,7/8,1,C,A10
Q34,What is 7/8 - 3/8?,4/8,4/16,3/8,5/8,A,A11
Q35,What is 5/6 - 1/3?,4/3,1/2,2/3,1/3,B,A11
Q36,What is 3/4 - 1/8?,1/2,5/8,2/8,7/8,B,A11
Q37,Riya ate 2/5 of a pizza and her brother ate 1/5. What fraction was eaten altogether?,1/5,2/5,3/5,3/10,C,"A9,A12"
Q38,"A tank was 3/4 full. If 1/4 of the tank was used, what fraction remains?",1/2,2/4,3/8,1/4,A,"A11,A12"
Q39,"A ribbon is 2 1/2 m long. If 1/2 m is cut off, how much remains?",1 1/2 m,2 m,2 1/4 m,3 m,B,"A11,A12"
Q40,A student has 3/4 kg of flour and uses 1/8 kg. How much flour is left?,5/8 kg,6/8 kg,7/8 kg,1/2 kg,A,"A11,A12"
